CUDA Device Number: 0
Queried Chip : GA102 
Total metrics on the chip 6780
Metric Name                                                                     	Num of Passes  	Collection Method
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red.max_rate       	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red.pct            	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red.ratio          	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st.max_rate        	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st.pct             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st.ratio           	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture.max_rate              	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture.pct                   	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture.ratio                 	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld.max_rate        	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld.pct             	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld.ratio           	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex.max_rate       	1              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex.pct            	2              	HW             
l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex.ratio          	2              	HW             
l1tex__cycles_active.avg                                                        	1              	HW             
l1tex__cycles_active.max                                                        	1              	HW             
l1tex__cycles_active.min                                                        	1              	HW             
l1tex__cycles_active.sum                                                        	1              	HW             
l1tex__cycles_elapsed.avg                                                       	1              	HW             
l1tex__cycles_elapsed.max                                                       	1              	HW             
l1tex__cycles_elapsed.min                                                       	1              	HW             
l1tex__cycles_elapsed.sum                                                       	1              	HW             
l1tex__cycles_in_frame.avg                                                      	1              	HW             
l1tex__cycles_in_frame.max                                                      	1              	HW             
l1tex__cycles_in_frame.min                                                      	1              	HW             
l1tex__cycles_in_frame.sum                                                      	1              	HW             
l1tex__cycles_in_region.avg                                                     	1              	HW             
l1tex__cycles_in_region.max                                                     	1              	HW             
l1tex__cycles_in_region.min                                                     	1              	HW             
l1tex__cycles_in_region.sum                                                     	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu.avg                                         	2              	HW             
l1tex__data_bank_conflicts_pipe_lsu.max                                         	2              	HW             
l1tex__data_bank_conflicts_pipe_lsu.min                                         	2              	HW             
l1tex__data_bank_conflicts_pipe_lsu.sum                                         	2              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_read.avg                                	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_read.max                                	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_read.min                                	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_read.sum                                	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_write.avg                               	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_write.max                               	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_write.min                               	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_cmd_write.sum                               	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global.avg                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global.max                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global.min                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global.sum                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom.avg                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom.max                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom.min                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom.sum                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld.avg                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld.max                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld.min                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld.sum                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red.avg                       	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red.max                       	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red.min                       	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red.sum                       	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st.avg                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st.max                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st.min                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st.sum                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.avg                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.max                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.min                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum                              	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.avg                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.max                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.min                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum                      	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min                        	1              	HW             
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                        	1              	HW             
l1tex__data_bank_reads.avg                                                      	1              	HW             
l1tex__data_bank_reads.max                                                      	1              	HW             
l1tex__data_bank_reads.min                                                      	1              	HW             
l1tex__data_bank_reads.sum                                                      	1              	HW             
l1tex__data_bank_writes.avg                                                     	1              	HW             
l1tex__data_bank_writes.max                                                     	1              	HW             
l1tex__data_bank_writes.min                                                     	1              	HW             
l1tex__data_bank_writes.sum                                                     	1              	HW             
l1tex__data_pipe_lsu_wavefronts.avg                                             	1              	HW             
l1tex__data_pipe_lsu_wavefronts.max                                             	1              	HW             
l1tex__data_pipe_lsu_wavefronts.min                                             	1              	HW             
l1tex__data_pipe_lsu_wavefronts.sum                                             	1              	HW             
l1tex__data_pipe_lsu_wavefronts_cmd_read.avg                                    	2              	HW             
l1tex__data_pipe_lsu_wavefronts_cmd_read.max                                    	2              	HW             
l1tex__data_pipe_lsu_wavefronts_cmd_read.min                                    	2              	HW             
l1tex__data_pipe_lsu_wavefronts_cmd_read.sum                                    	2              	HW             
l1tex__data_pipe_lsu_wavefronts_cmd_write.avg                                   	3              	HW             
